batch_no,classifier,accuracy,recall_0,recall_4,precision_0,precision_4,f1_0,f1_4,batch_size
11,SGD,0.7555,0.7038152610441767,0.8067729083665338,0.7832402234636872,0.7330316742081447,0.7414066631411951,0.7681365576102419,10000
12,PA,0.6835,0.6800391389432485,0.6871165644171779,0.6943056943056943,0.6726726726726727,0.6870983687592684,0.6798179059180577,10000
12,NB,0.8045,0.7837573385518591,0.8261758691206544,0.8249227600411947,0.7852283770651117,0.8038133467134974,0.8051818634778276,10000
12,SGD,0.761,0.7299412915851272,0.7934560327198364,0.7869198312236287,0.7376425855513308,0.7573604060913706,0.7645320197044335,10000
13,PA,0.694,0.6452569169960475,0.7439271255060729,0.7207505518763797,0.6718464351005484,0.6809176225234619,0.7060518731988472,10000
13,NB,0.788,0.782608695652174,0.7935222672064778,0.7951807228915663,0.7808764940239044,0.7888446215139442,0.78714859437751,10000
13,SGD,0.7405,0.700592885375494,0.7813765182186235,0.7664864864864865,0.718139534883721,0.7320598864223025,0.7484246243334949,10000
14,PA,0.693,0.5936883629191322,0.795131845841785,0.7487562189054726,0.6555183946488294,0.6622662266226622,0.7186067827681026,10000
14,NB,0.805,0.8096646942800789,0.8002028397565923,0.806483300589391,0.8034623217922607,0.8080708661417324,0.8018292682926829,10000
14,SGD,0.757,0.7130177514792899,0.8022312373225152,0.7875816993464052,0.7310536044362292,0.748447204968944,0.7649903288201161,10000
15,PA,0.705,0.6396396396396397,0.7702297702297702,0.7353279631760644,0.6816976127320955,0.6841541755888652,0.7232645403377111,10000
15,NB,0.7985,0.7677677677677678,0.8291708291708292,0.8176972281449894,0.7815442561205274,0.7919463087248322,0.8046534173533689,10000
15,SGD,0.7395,0.6866866866866866,0.7922077922077922,0.767337807606264,0.716998191681736,0.7247754886423666,0.7527289985761747,10000
16,PA,0.683,0.6098484848484849,0.7648305084745762,0.74364896073903,0.63668430335097,0.6701352757544224,0.6948989412897016,10000
16,NB,0.786,0.8011363636363636,0.7690677966101694,0.7951127819548872,0.7756410256410257,0.7981132075471699,0.7723404255319148,10000
16,SGD,0.7275,0.6609848484848485,0.801906779661017,0.7887005649717514,0.6789237668161435,0.7192168985059249,0.7353084021369597,10000
17,PA,0.691,0.7208588957055214,0.662426614481409,0.6714285714285714,0.7126315789473684,0.695266272189349,0.6866125760649087,10000
17,NB,0.778,0.7392638036809815,0.815068493150685,0.7927631578947368,0.765625,0.765079365079365,0.7895734597156399,10000
17,SGD,0.7465,0.6717791411042945,0.8180039138943248,0.7793594306049823,0.7225583405358686,0.7215815485996706,0.7673244607618174,10000
18,PA,0.7075,0.7137137137137137,0.7012987012987013,0.7045454545454546,0.7105263157894737,0.7090999502734959,0.7058823529411765,10000
18,NB,0.795,0.8108108108108109,0.7792207792207793,0.7856450048496605,0.804953560371517,0.7980295566502463,0.7918781725888325,10000
18,SGD,0.7455,0.6896896896896897,0.8011988011988012,0.7759009009009009,0.7212230215827338,0.730259671436142,0.759110269758637,10000
19,PA,0.677,0.6944172380019589,0.658835546475996,0.6797698945349953,0.6739811912225705,0.687015503875969,0.6663223140495868,10000
19,NB,0.7805,0.7355533790401567,0.8273748723186926,0.816304347826087,0.75,0.773827923750644,0.7867897037396794,10000
19,SGD,0.7265,0.6914789422135161,0.763023493360572,0.7526652452025586,0.7033898305084746,0.7207759060745278,0.7319941205291524,10000
20,PA,0.702,0.7614678899082569,0.6447497546614328,0.6735798016230838,0.7373737373737373,0.7148325358851675,0.687958115183246,10000
20,NB,0.7945,0.7349643221202854,0.8518155053974484,0.8268348623853211,0.7695035460992907,0.7781975175391258,0.808570097810899,10000
20,SGD,0.761,0.7329255861365953,0.788027477919529,0.7689839572192514,0.7539906103286385,0.7505219206680585,0.7706333973128598,10000
21,PA,0.675,0.6329113924050633,0.7194244604316546,0.704225352112676,0.6499535747446611,0.6666666666666666,0.6829268292682926,10000
21,NB,0.781,0.7546251217137293,0.8088386433710175,0.8064516129032258,0.7574590952839269,0.7796780684104627,0.7823061630218688,10000
21,SGD,0.7395,0.6796494644595911,0.802672147995889,0.7842696629213484,0.7036036036036036,0.7282211789254044,0.7498799807969275,10000
22,PA,0.6705,0.6173826173826173,0.7237237237237237,0.6912751677852349,0.6537070524412296,0.6522427440633245,0.686935866983373,10000
22,NB,0.776,0.7512487512487512,0.8008008008008008,0.7907465825446898,0.7626310772163966,0.7704918032786885,0.78125,10000
22,SGD,0.7475,0.7012987012987013,0.7937937937937938,0.7731277533039648,0.7261904761904762,0.7354635935044526,0.7584887613582018,10000
23,PA,0.7065,0.6917073170731707,0.7220512820512821,0.7234693877551021,0.6901960784313725,0.7072319201995012,0.7057644110275689,10000
23,NB,0.806,0.8146341463414634,0.796923076923077,0.8083252662149081,0.8035160289555325,0.8114674441205053,0.8002059732234809,10000
23,SGD,0.7485,0.7121951219512195,0.7866666666666666,0.7782515991471215,0.7222222222222222,0.7437595517065716,0.75306823760432,10000
24,PA,0.7015,0.708457711442786,0.6944723618090453,0.7007874015748031,0.7022357723577236,0.7046016823354775,0.6983324911571501,10000
24,NB,0.8085,0.7930348258706468,0.8241206030150754,0.8199588477366255,0.7976653696498055,0.806272129489125,0.8106772120612951,10000
24,SGD,0.7565,0.7233830845771144,0.7899497487437186,0.7767094017094017,0.7387218045112782,0.7490984028851108,0.7634774162214668,10000
25,PA,0.695,0.6792828685258964,0.7108433734939759,0.7030927835051546,0.6873786407766991,0.690982776089159,0.698914116485686,10000
25,NB,0.793,0.8187250996015937,0.7670682730923695,0.7798861480075902,0.8076109936575053,0.7988338192419825,0.7868177136972194,10000
25,SGD,0.7405,0.6802788844621513,0.8012048192771084,0.775255391600454,0.7131367292225201,0.7246684350132625,0.7546099290780142,10000
26,PA,0.693,0.6907962771458118,0.6950629235237173,0.6795523906408952,0.7059980334316618,0.6851282051282052,0.7004878048780488,10000
26,NB,0.7975,0.8004136504653567,0.7947725072604066,0.7849898580121704,0.8096646942800789,0.792626728110599,0.8021494870542257,10000
26,SGD,0.735,0.7207859358841778,0.7483059051306873,0.7283176593521421,0.7411313518696069,0.7245322245322245,0.7447013487475915,10000
27,PA,0.677,0.6937751004016064,0.6603585657370518,0.6695736434108527,0.6849173553719008,0.6814595660749507,0.6724137931034482,10000
27,NB,0.7755,0.7740963855421686,0.7768924302788844,0.7748743718592965,0.7761194029850746,0.7744851833249623,0.7765057242409158,10000
27,SGD,0.733,0.6877510040160643,0.7778884462151394,0.7544052863436124,0.7152014652014652,0.7195378151260505,0.7452290076335878,10000
28,PA,0.706,0.7003853564547207,0.7120582120582121,0.7241035856573705,0.6877510040160643,0.7120470127326151,0.6996935648621042,10000
28,NB,0.795,0.7475915221579962,0.8461538461538461,0.8398268398268398,0.7565055762081785,0.7910295616717636,0.7988223748773308,10000
28,SGD,0.752,0.7032755298651252,0.8045738045738046,0.7952069716775599,0.7153419593345656,0.7464212678936604,0.7573385518590998,10000
29,PA,0.684,0.661,0.707,0.6928721174004193,0.6759082217973231,0.6765609007164791,0.6911045943304007,10000
29,NB,0.7875,0.78,0.795,0.7918781725888325,0.7832512315270936,0.7858942065491185,0.7890818858560794,10000
29,SGD,0.7415,0.692,0.791,0.7680355160932297,0.7197452229299363,0.7280378748027354,0.7536922343973321,10000
30,PA,0.6905,0.6826042726347915,0.6981317600786627,0.6860940695296524,0.6947162426614482,0.6843447220805712,0.6964198136341344,10000
30,NB,0.7955,0.7873855544252288,0.8033431661750245,0.7946611909650924,0.7962962962962963,0.7910066428206438,0.7998042094958394,10000
30,SGD,0.752,0.7304170905391658,0.7728613569321534,0.7565858798735511,0.7478591817316841,0.7432712215320911,0.7601547388781432,10000
31,PA,0.6985,0.7167689161554193,0.6810176125244618,0.682570593962999,0.7153134635149023,0.6992518703241896,0.6977443609022556,10000
31,NB,0.792,0.8190184049079755,0.7661448140900196,0.7701923076923077,0.815625,0.7938553022794848,0.7901109989909182,10000
31,SGD,0.741,0.6881390593047034,0.7915851272015656,0.7595936794582393,0.7262118491921006,0.7221030042918456,0.75749063670412,10000
32,PA,0.6805,0.6353535353535353,0.7247524752475247,0.6934950385887542,0.6697163769441903,0.6631523458091724,0.6961483594864479,10000
32,NB,0.805,0.795959595959596,0.8138613861386138,0.8073770491803278,0.802734375,0.8016276703967448,0.808259587020649,10000
32,SGD,0.741,0.702020202020202,0.7792079207920792,0.7570806100217865,0.7273567467652495,0.7285115303983227,0.7523900573613767,10000
33,PA,0.699,0.643486777668952,0.7568947906026557,0.7340782122905027,0.6705882352941176,0.68580375782881,0.7111324376199617,10000
33,NB,0.7915,0.8237022526934378,0.7579162410623085,0.7801484230055659,0.8047722342733189,0.8013339685564554,0.7806417674907944,10000
33,SGD,0.7475,0.6983349657198825,0.7987742594484167,0.7835164835164835,0.7174311926605504,0.7384774728120146,0.7559207346544224,10000
34,PA,0.701,0.6824034334763949,0.7172284644194756,0.6780383795309168,0.7212806026365348,0.6802139037433155,0.7192488262910798,10000
34,NB,0.795,0.759656652360515,0.8258426966292135,0.7919463087248322,0.7974683544303798,0.7754654983570646,0.8114075436982521,10000
34,SGD,0.751,0.7017167381974249,0.7940074906367042,0.7482837528604119,0.7531083481349912,0.7242524916943521,0.7730173199635368,10000
35,PA,0.683,0.6584158415841584,0.7080808080808081,0.6970649895178197,0.6701720841300192,0.6771894093686355,0.6886051080550099,10000
35,NB,0.7855,0.7841584158415842,0.7868686868686868,0.7896311066799602,0.7813440320962889,0.7868852459016394,0.7840966280825364,10000
35,SGD,0.7335,0.6653465346534654,0.803030303030303,0.7750865051903114,0.7016769638128861,0.7160362280234417,0.7489401789919924,10000
36,PA,0.701,0.7081632653061225,0.6941176470588235,0.6898608349900597,0.7122736418511066,0.6988922457200404,0.7030784508440914,10000
36,NB,0.8035,0.7857142857142857,0.8205882352941176,0.8079748163693599,0.7994269340974212,0.7966890843248836,0.8098693759071116,10000
36,SGD,0.745,0.6826530612244898,0.8049019607843138,0.7707373271889401,0.7252650176678446,0.724025974025974,0.763011152416357,10000
37,PA,0.6995,0.7008113590263692,0.6982248520710059,0.6930792377131394,0.7058823529411765,0.6969238527483611,0.7020327218641547,10000
37,NB,0.796,0.7880324543610547,0.8037475345167653,0.7961065573770492,0.7958984375,0.7920489296636086,0.7998037291462218,10000
37,SGD,0.7585,0.7129817444219066,0.8027613412228797,0.778516057585825,0.7420237010027347,0.7443091582848067,0.7711984841307437,10000
38,PA,0.679,0.6007866273352999,0.7599186164801628,0.7213695395513577,0.6478751084128361,0.6555793991416309,0.6994382022471911,10000
38,NB,0.777,0.7620452310717798,0.7924720244150559,0.7916241062308478,0.7629774730656219,0.7765531062124249,0.7774451097804391,10000
38,SGD,0.7295,0.6745329400196657,0.7863682604272635,0.765625,0.7001811594202898,0.7171981181390485,0.7407762338284618,10000
39,PA,0.676,0.6106719367588933,0.742914979757085,0.7087155963302753,0.650709219858156,0.6560509554140127,0.6937618147448015,10000
39,NB,0.783,0.7835968379446641,0.7823886639676113,0.7867063492063492,0.7792338709677419,0.7851485148514852,0.7808080808080807,10000
39,SGD,0.743,0.700592885375494,0.7864372469635628,0.7706521739130435,0.7194444444444444,0.7339544513457557,0.7514506769825918,10000
40,PA,0.688,0.6597222222222222,0.7167338709677419,0.7029598308668076,0.674573055028463,0.6806550665301945,0.6950146627565983,10000
40,NB,0.785,0.7837301587301587,0.7862903225806451,0.7884231536926147,0.781563126252505,0.7860696517412934,0.7839195979899497,10000
40,SGD,0.741,0.6944444444444444,0.7883064516129032,0.7692307692307693,0.7174311926605504,0.72992700729927,0.7512007684918349,10000
41,PA,0.7005,0.6670061099796334,0.7328094302554028,0.7065803667745415,0.6952469711090401,0.6862231534834993,0.7135341941654711,10000
41,NB,0.7875,0.7617107942973523,0.81237721021611,0.7965921192758253,0.7794533459000943,0.7787610619469025,0.7955747955747956,10000
41,SGD,0.7475,0.6955193482688391,0.7976424361493124,0.7682789651293588,0.7308730873087309,0.7300908605024051,0.7627994363550964,10000
42,PA,0.7085,0.7099080694586313,0.7071498530852106,0.6991951710261569,0.7176938369781312,0.7045108971109985,0.7123828317710903,10000
42,NB,0.7855,0.8008171603677222,0.7708129285014691,0.7701375245579568,0.8014256619144603,0.785177766649975,0.7858212680978531,10000
42,SGD,0.7555,0.7191011235955056,0.7904015670910872,0.7668845315904139,0.7458410351201479,0.7422245651027939,0.7674750356633381,10000
43,PA,0.703,0.6732673267326733,0.7333333333333333,0.7203389830508474,0.6875,0.6960081883316275,0.7096774193548386,10000
43,NB,0.8035,0.7712871287128713,0.8363636363636363,0.8278427205100957,0.7818696883852692,0.7985648385443362,0.808199121522694,10000
43,SGD,0.7495,0.696039603960396,0.804040404040404,0.7837235228539576,0.7216681776971895,0.7372836916622967,0.7606306736741518,10000
44,PA,0.6885,0.6983511154219205,0.6780185758513931,0.6976744186046512,0.6787190082644629,0.6980126030053321,0.6783686112545173,10000
44,NB,0.7935,0.8341416100872939,0.7502579979360166,0.7803992740471869,0.8095768374164811,0.806375996249414,0.7787895018746653,10000
44,SGD,0.7375,0.6818622696411252,0.7966976264189887,0.7811111111111111,0.7018181818181818,0.7281201450025894,0.7462542290961818,10000
45,PA,0.713,0.687246963562753,0.7381422924901185,0.7192796610169492,0.7073863636363636,0.7028985507246378,0.7224371373307543,10000
45,NB,0.802,0.8137651821862348,0.7905138339920948,0.7913385826771654,0.8130081300813008,0.8023952095808383,0.8016032064128257,10000
45,SGD,0.758,0.7004048582995951,0.8142292490118577,0.7863636363636364,0.7357142857142858,0.740899357601713,0.7729831144465291,10000
46,PA,0.6915,0.6504065040650406,0.7312992125984252,0.7009857612267251,0.6835326586936522,0.6747496046389035,0.706609605325725,10000
46,NB,0.782,0.866869918699187,0.6998031496062992,0.7366148531951641,0.8444180522565321,0.7964519140989729,0.7653390742734124,10000
46,SGD,0.748,0.7083333333333334,0.7864173228346457,0.762582056892779,0.7357274401473296,0.7344573234984193,0.7602283539486204,10000
47,PA,0.6855,0.6776859504132231,0.6928294573643411,0.6742034943473793,0.6962025316455697,0.6759402369912416,0.6945118989800875,10000
47,NB,0.784,0.7603305785123967,0.8062015503875969,0.7863247863247863,0.7819548872180451,0.773109243697479,0.7938931297709922,10000
47,SGD,0.7505,0.6952479338842975,0.8023255813953488,0.7673888255416191,0.7373107747105966,0.7295392953929539,0.768445475638051,10000
48,PA,0.7055,0.7471736896197327,0.6660175267770204,0.6794392523364486,0.7354838709677419,0.7116984826235928,0.6990291262135921,10000
48,NB,0.7775,0.817060637204522,0.7400194741966893,0.748587570621469,0.8102345415778252,0.7813267813267813,0.7735368956743003,10000
48,SGD,0.752,0.6988694758478932,0.8023369036027264,0.7701019252548131,0.7376902417188899,0.7327586206896551,0.7686567164179104,10000
49,PA,0.694,0.6381709741550696,0.7505030181086519,0.7213483146067415,0.6720720720720721,0.6772151898734178,0.7091254752851712,10000
49,NB,0.7885,0.7664015904572564,0.8108651911468813,0.8039624608967675,0.7742555235350624,0.7847328244274809,0.792137592137592,10000
49,SGD,0.754,0.6888667992047713,0.8199195171026157,0.7947247706422018,0.7225177304964538,0.7380191693290734,0.768143261074458,10000
50,PA,0.6785,0.6248746238716149,0.7318045862412762,0.6984304932735426,0.6624548736462094,0.6596082583377448,0.6954050213169114,10000
50,NB,0.794,0.7763289869608826,0.8115653040877367,0.8037383177570093,0.7849566055930569,0.7897959183673469,0.7980392156862746,10000
50,SGD,0.731,0.6599799398194583,0.8015952143569293,0.7677946324387398,0.7034120734908137,0.7098166127292341,0.7493010251630942,10000
51,PA,0.679,0.6204588910133844,0.7431865828092243,0.7259507829977628,0.6410488245931284,0.6690721649484536,0.6883495145631069,10000
51,NB,0.7915,0.7638623326959847,0.8218029350104822,0.8245614035087719,0.7604267701260912,0.7930521091811414,0.7899244332493703,10000
51,SGD,0.7355,0.6787762906309751,0.7976939203354297,0.7862679955703211,0.6937101185050136,0.728578758337609,0.7420770355923938,10000
52,PA,0.699,0.665,0.733,0.7135193133047211,0.6863295880149812,0.6884057971014492,0.7088974854932301,10000
52,NB,0.7935,0.779,0.808,0.8022657054582905,0.7852283770651117,0.7904616945712837,0.7964514539181863,10000
52,SGD,0.736,0.685,0.787,0.7628062360801782,0.7141560798548094,0.7218124341412012,0.7488106565176024,10000
53,PA,0.6855,0.6892712550607287,0.6818181818181818,0.678963110667996,0.6920762286860582,0.6840783525866398,0.6869089099054256,10000
53,NB,0.79,0.7530364372469636,0.8260869565217391,0.808695652173913,0.774074074074074,0.7798742138364779,0.7992351816443594,10000
53,SGD,0.744,0.7095141700404858,0.7776679841897233,0.7570194384449244,0.7327746741154563,0.7324973876698014,0.7545541706615532,10000
54,PA,0.6915,0.6536144578313253,0.7290836653386454,0.7053087757313109,0.6796657381615598,0.6784783741532048,0.703507928880346,10000
54,NB,0.788,0.7349397590361446,0.8406374501992032,0.820627802690583,0.7617328519855595,0.7754237288135594,0.7992424242424243,10000
54,SGD,0.75,0.6927710843373494,0.8067729083665338,0.7805429864253394,0.7258064516129032,0.7340425531914893,0.7641509433962265,10000
55,PA,0.682,0.6077457795431976,0.75730110775428,0.7174677608440797,0.6556233653007847,0.6580645161290323,0.702803738317757,10000
55,NB,0.786,0.7864945382323734,0.7854984894259819,0.7880597014925373,0.7839195979899497,0.7872763419483102,0.7847082494969819,10000
55,SGD,0.747,0.6901688182720953,0.8046324269889225,0.78177727784027,0.7191719171917191,0.7331223628691983,0.7595057034220534,10000
56,PA,0.692,0.7350096711798839,0.6459627329192547,0.6896551724137931,0.6948775055679287,0.7116104868913858,0.6695278969957081,10000
56,NB,0.793,0.7978723404255319,0.7877846790890269,0.8009708737864077,0.7845360824742268,0.7994186046511627,0.7861570247933884,10000
56,SGD,0.731,0.6779497098646035,0.7877846790890269,0.7737306843267108,0.6956124314442413,0.722680412371134,0.7388349514563106,10000
57,PA,0.6915,0.7558494404883012,0.6293018682399213,0.6633928571428571,0.7272727272727273,0.7066096053257253,0.6747496046389035,10000
57,NB,0.7785,0.8026449643947101,0.7551622418879056,0.7601156069364162,0.7983367983367984,0.7808015833745671,0.7761495704901465,10000
57,SGD,0.7445,0.6754832146490336,0.8112094395280236,0.7757009345794392,0.7211538461538461,0.7221315932572051,0.7635354002776492,10000
58,PA,0.6955,0.7223942208462333,0.6702230843840931,0.6730769230769231,0.7197916666666667,0.6968641114982579,0.694123556002009,10000
58,NB,0.7845,0.7636738906088751,0.8040737148399612,0.7855626326963907,0.7835538752362949,0.7744636316064888,0.7936811871708951,10000
58,SGD,0.7505,0.6883384932920537,0.8089233753637245,0.7719907407407407,0.7341549295774648,0.7277686852154938,0.7697277341947393,10000
59,PA,0.68,0.5552208835341366,0.8037848605577689,0.7373333333333333,0.6456,0.6334478808705614,0.7160603371783496,10000
59,NB,0.785,0.7720883534136547,0.797808764940239,0.7911522633744856,0.7791828793774319,0.7815040650406504,0.7883858267716536,10000
59,SGD,0.7335,0.6877510040160643,0.7788844621513944,0.7552370452039692,0.7154620311070449,0.7199159222280609,0.7458273724368146,10000
60,PA,0.6835,0.6827852998065764,0.6842650103519669,0.6983184965380811,0.6683518705763397,0.6904645476772616,0.6762148337595908,10000
60,NB,0.784,0.7688588007736944,0.8002070393374742,0.8046558704453441,0.7638339920948617,0.7863501483679526,0.78159757330637,10000
60,SGD,0.7305,0.6702127659574468,0.7950310559006211,0.7777777777777778,0.6925157799819658,0.72,0.7402409638554217,10000
61,PA,0.6925,0.6733668341708543,0.7114427860696517,0.6979166666666666,0.6875,0.6854219948849105,0.6992665036674817,10000
61,NB,0.793,0.7798994974874371,0.8059701492537313,0.7991761071060762,0.7871720116618076,0.7894201424211597,0.7964601769911505,10000
61,SGD,0.745,0.6804020100502512,0.808955223880597,0.7790563866513234,0.7188328912466844,0.7263948497854077,0.7612359550561799,10000
62,PA,0.7,0.6680040120361084,0.7318045862412762,0.7122994652406417,0.6892018779342723,0.6894409937888198,0.709864603481625,10000
62,NB,0.7905,0.8415245737211635,0.7397806580259222,0.7627272727272727,0.8244444444444444,0.8001907486886027,0.7798213347346294,10000
62,SGD,0.7355,0.6670010030090271,0.8035892323030908,0.771461716937355,0.7082601054481547,0.7154384077461001,0.7529191966370855,10000
63,PA,0.7025,0.6429277942631059,0.7633973710819009,0.7352941176470589,0.6765232974910395,0.6860158311345648,0.7173396674584323,10000
